explicacao_ementa,apreciacao,ementa,situacao,tipo,ano,numero,autor,regime_tramitacao,links_inteiro_teor,data,id
"Revoga a Lei nº 4.771, de 1965 (Código Florestal); altera a Lei nº 9.605, de 1998.  
PL chamado de novo Código Florestal.",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre Áreas de Preservação Permanente, Reserva Legal, exploração florestal e dá outras providências.",MESA - Aguardando Retorno ,PL,1999,1876,Sérgio Carvalho,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15847,1999-10-19,17338
"Inclui várias práticas comerciais como infração à ordem econômica; altera critérios para notificação sobre ato de concentração e para a instrução e apreciação do processo por parte da SEAE, SDE e CADE, órgãos do Sistema Brasileiro de Defesa da Concorrência - SBDC.",Proposição Sujeita à Apreciação do Plenário,"Altera a Lei nº 8.884, de 11 de junho de 1994, que ""transforma o Conselho Administrativo de Defesa Econômica (Cade) em Autarquia, dispõe sobre a prevenção e a repressão às infrações contra a ordem econômica e dá outras providências"". ",Tranformada no(a) Lei Ordinária 12529/2011,PL,2004,3937,Carlos Eduardo Cadoca,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=233311,2004-07-07,260404
Conhecida como PEC da Música. Altera a Constituição Federal de 1988.,Proposição Sujeita à Apreciação do Plenário,"Acrescenta a alínea ""e"" ao inciso VI do art. 150 da Constituição Federal, instituindo imunidade tributária sobre os Fonogramas e Videofonogramas musicais produzidos no Brasil, contendo obras musicais ou lítero-musicais de autores brasileiros, e/ou obras em geral interpretadas por artistas brasileiros, bem como os suportes materiais ou arquivos digitais que os contenham.",PLEN - Aguardando Encaminhamento,PEC,2007,98,Otavio Leite,Especial,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=474630,2007-06-26,357094
"
  ",Proposição Sujeita à Apreciação do Plenário,"Aprova o texto do Tratado de Extradição entre a República Federativa do Brasil e a República Popular da China, celebrado em Brasília, em 12 de novembro de 2004. ",PLEN - Pronta para Pauta,PDC,2008,1351,Comissão de Relações Exteriores e de Defesa Nacional,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=627718,2008-12-18,422002
"Regulamenta os §§ 2º e 3º do art. 198 da Constituição Federal de 1988 (texto da Emenda Constitucional nº 29, de 2000).
Cria a Contribuição Social para a Saúde (CSS). (Redação do Substitutivo).",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre os valores mínimos a serem aplicados anualmente por Estados, Distrito Federal, Municípios e União em ações e serviços públicos de saúde, os critérios de rateio dos recursos de transferências para a saúde e as normas de fiscalização, avaliação e controle das despesas com saúde nas três esferas de governo.",MESA - Aguardando Retorno ,PLP,2008,306,Senado Federal - Tião Viana,Urgência art. 155 RICD,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=562356,2008-05-12,394079
"
  ",Proposição Sujeita à Apreciação do Plenário,"Aprova o texto da Notas Reversais entre o Governo da República Federativa do Brasil e o Governo da República do Paraguai sobre as Bases Financeiras do Anexo C do Tratado de Itaipu, firmadas em 1º de setembro de 2009.",Tranformada no(a) Decreto Legislativo 129/2011,PDC,2010,2600,Representação Brasileira no Parlamento do Mercosul.,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=765476,2010-05-07,476031
"A lei nº 10.891, de 9 de julho de 2004 cria as seguintes categorias de Bolsa-Atleta: Categoria Atleta de Base, Categoria Estudantil, Categoria Atleta Nacional, Categoria Atleta Internacional, Categoria Atleta Olímpico ou Paraolímpico e Categoria Atleta Pódio.",Proposição Sujeita à Apreciação do Plenário,"Dá nova redação às Leis nºs 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto, e 10.891, de 9 de julho de 2004, que institui a Bolsa-Atleta; cria os Programas Atleta Pódio e Cidade Esportiva, e dá outras providências.",Tranformada no(a) Lei Ordinária 12395/2011,MPV,2010,502,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=840060,2010-09-21,485274
"
  ",Proposição Sujeita à Apreciação do Plenário,"Ratifica o Protocolo de Intenções firmado entre a União, o Estado do Rio de Janeiro e o Município do Rio de Janeiro, com a finalidade de constituir consórcio público, denominado Autoridade Pública Olímpica - APO.",Tranformada no(a) Lei Ordinária 12396/2011,MPV,2010,503,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=806139,2010-09-22,485275
"
  ",Proposição Sujeita à Apreciação do Plenário,"Dispõe sobre medidas para assegurar a sustentabilidade econômico-financeira do Banco Nacional de Desenvolvimento Econômico e Social - BNDES, sobre autorização para garantia do financiamento do Trem de Alta Velocidade - TAV, no trecho entre os Municípios do Rio de Janeiro - RJ e Campinas - SP, e dá outras providências.",Tranformada no(a) Lei Ordinária 12404/2011,MPV,2010,511,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=814911,2010-11-08,485758
"
  ",Proposição Sujeita à Apreciação do Plenário,"Altera a Lei nº 9.440, de 14 de março de 1997, que estabelece incentivos fiscais para o desenvolvimento regional e da indústria automotiva.
",Tranformada no(a) Lei Ordinária 12407/2011,MPV,2010,512,Poder Executivo,Urgência,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=823073,2010-11-26,487868
