party,state,name,id
DEM,PR,ABELARDO LUPION,522187
PRB,BA,ACELINO POPÓ,530659
PSD,MG,ADEMIR CAMILO,521210
PMDB,RJ,ADRIAN,530135
PR,MG,AELTON FREITAS,525500
PP,RS,AFONSO HAMM,523068
PP,PB,AGUINALDO RIBEIRO,530093
PMDB,MA,ALBERTO FILHO,530059
PSDB,SP,ALBERTO MOURÃO,533312
PMDB,RS,ALCEU MOREIRA,530164
PT,RJ,ALESSANDRO MOLON,530130
PTB,PR,ALEX CANZIANI,522236
DEM,SP,ALEXANDRE LEITE,530196
PSB,RS,ALEXANDRE ROSO,530165
PMDB,RJ,ALEXANDRE SANTOS,522696
PSDB,PR,ALFREDO KAEFER,526687
PV,RJ,ALFREDO SIRKIS,530143
PCdoB,BA,ALICE PORTUGAL,520406
PP,SP,ALINE CORRÊA,528183
PPS,SE,ALMEIDA LIMA,530181
PT,BA,AMAURI TEIXEIRA,530020
PR,PE,ANDERSON FERREIRA,530104
PSDB,PA,ANDRÉ DIAS,531759
PDT,CE,ANDRÉ FIGUEIREDO,530033
PSC,SE,ANDRE MOURA,530182
PT,PR,ANDRE VARGAS,526610
PMDB,PR,ANDRÉ ZACHAROW,522059
PSDB,RJ,ANDREIA ZITO,526874
PDT,TO,ÂNGELO AGNOLIN,530213
PT,PR,ANGELO VANHONI,526612
PMDB,CE,ANÍBAL GOMES,520429
PR,RJ,ANTHONY GAROTINHO,530137
PSC,AC,ANTÔNIA LÚCIA,530002
PMDB,MG,ANTÔNIO ANDRADE,525539
PSB,CE,ANTONIO BALHMANN,530038
PTB,BA,ANTONIO BRITO,530024
PRB,SP,ANTONIO BULHÕES,528219
DEM,BA,ANTONIO CARLOS MAGALHÃES NETO,520342
PSB,SP,ABELARDO CAMARINHA,528580
PSDB,SP,ANTONIO CARLOS MENDES THAME,524132
PSDB,BA,ANTONIO IMBASSAHY,530031
PV,MG,ANTÔNIO ROBERTO,525549
PR,MG,ARACELY DE PAULA,521241
PSB,CE,ARIOSTO HOLANDA,520520
PT,SP,ARLINDO CHINAGLIA,523540
PSD,GO,ARMANDO VERGÍLIO,530057
PTB,SP,ARNALDO FARIA DE SÁ,523606
PPS,SP,ARNALDO JARDIM,528260
PPS,PA,ARNALDO JORDY,530092
PTB,CE,ARNON BEZERRA,520515
PSD,RJ,AROLDE DE OLIVEIRA,522534
PP,AL,ARTHUR LIRA,530004
PMDB,BA,ARTHUR OLIVEIRA MAIA,530025
PT,CE,ARTUR BRUNO,530034
PMDB,PA,ASDRUBAL BENTES,521603
PT,PI,ASSIS CARVALHO,530112
PT,PR,ASSIS DO COUTO,522071
PCdoB,RS,ASSIS MELO,530168
PSD,AM,ÁTILA LINS,520172
PSB,ES,AUDIFAX,530050
PPS,DF,AUGUSTO CARVALHO,530897
DEM,PE,AUGUSTO COUTINHO,530106
PRTB,RJ,AUREO,530141
PT,RJ,BENEDITA DA SILVA,530131
PMDB,PB,BENJAMIN MARANHÃO,530097
PSDB,RR,BERINHO BANTIM,530157
PR,MG,BERNARDO SANTANA DE VASCONCELLOS,530074
PT,PA,BETO FARO,526207
PP,SP,BETO MANSUR,528887
PT,MS,BIFFI,521434
PT,RS,BOHN GASS,530161
PSDB,MG,BONIFÁCIO DE ANDRADA,531197
PDT,RJ,BRIZOLA NETO,532458
PSDB,SP,BRUNA FURLAN,530211
PSDB,PE,BRUNO ARAÚJO,526364
PMDB,ES,CAMILO COLA,530941
PT,SP,CÂNDIDO VACCAREZZA,528280
PSDB,MG,CARLAILE PEDROSA,530077
PT,SP,CARLINHOS ALMEIDA,530187
PSDB,GO,CARLOS ALBERTO LERÉIA,520852
PMDB,MT,CARLOS BEZERRA,526056
PSC,PE,CARLOS EDUARDO CADOCA,521814
PP,RO,CARLOS MAGNO,530149
PSDB,SP,CARLOS SAMPAIO,524095
PSD,AM,CARLOS SOUZA,520162
PT,SP,CARLOS ZARATTINI,528288
